시점,인구[천명],경제활동인구[천명],취업자[천명],실업자[천명],비경제활동인구[천명],경제활동참가율[%],실업률[%],고용률[%]
2015.03 월,7741.1,5919.5,5724.2,195.2,1821.6,76.5,3.3,73.9
2015.04 월,7729.9,5914.4,5703.5,210.9,1815.4,76.5,3.6,73.8
2015.05 월,7718.6,5916,5730.9,185.2,1802.5,76.6,3.1,74.2
2015.06 월,7707.2,5929,5734.5,194.4,1778.2,76.9,3.3,74.4
2015.07 월,7696.8,5923,5749.1,173.9,1773.8,77,2.9,74.7
2015.08 월,7687.6,5899.2,5719.9,179.3,1788.5,76.7,3,74.4
2015.09 월,7678.5,5897.7,5714.6,183,1780.8,76.8,3.1,74.4
2015.10 월,7669.1,5890,5716.9,173.1,1779.1,76.8,2.9,74.5
2015.11 월,7659.8,5886.9,5717.8,169,1772.9,76.9,2.9,74.6
2015.12 월,7650.6,5899.1,5738,161.1,1751.5,77.1,2.7,75
2016.01 월,7646.5,5884.4,5723.6,160.8,1762.1,77,2.7,74.9
2016.02 월,7637.3,5874.2,5673.9,200.2,1763.1,76.9,3.4,74.3
2016.03 월,7628.3,5862,5666.2,195.8,1766.4,76.8,3.3,74.3
2016.04 월,7619,5848.9,5654.7,194.2,1770.1,76.8,3.3,74.2
2016.05 월,7610,5864.8,5685.4,179.4,1745.2,77.1,3.1,74.7
2016.06 월,7600.8,5866.4,5684.9,181.4,1734.5,77.2,3.1,74.8
2016.07 월,7591.9,5858.1,5674.1,184,1733.8,77.2,3.1,74.7
2016.08 월,7583.5,5828.8,5642.8,186,1754.7,76.9,3.2,74.4
2016.09 월,7575.1,5843.4,5656.7,186.6,1731.8,77.1,3.2,74.7
2016.10 월,7566.8,5835.8,5640.8,195,1731,77.1,3.3,74.5
2016.11 월,7558.4,5850.2,5677.6,172.6,1708.3,77.4,3,75.1
2016.12 월,7550,5854.1,5677.3,176.8,1695.9,77.5,3,75.2
2017.01 월,7542.2,5834.5,5640.4,194.1,1707.7,77.4,3.3,74.8
2017.02 월,7534,5845.2,5630,215.2,1688.8,77.6,3.7,74.7
2017.03 월,7525.9,5858.9,5634.8,224.1,1667,77.8,3.8,74.9
2017.04 월,7517.4,5873,5640.5,232.5,1644.4,78.1,4,75
2017.05 월,7509.6,5829.5,5647.1,182.4,1680.1,77.6,3.1,75.2
2017.06 월,7501.1,5845.9,5657.5,188.4,1655.2,77.9,3.2,75.4
2017.07 월,7491.6,5824.3,5653.9,170.4,1667.3,77.7,2.9,75.5
2017.08 월,7481.5,5793,5604.6,188.5,1688.5,77.4,3.3,74.9
2017.09 월,7471.1,5826.9,5661.1,165.7,1644.3,78,2.8,75.8
2017.10 월,7461.6,5813.8,5639.2,174.6,1647.8,77.9,3,75.6
2017.11 월,7451.6,5823.2,5656,167.1,1628.5,78.1,2.9,75.9
2017.12 월,7441.4,5824.7,5650.9,173.8,1616.7,78.3,3,75.9
2018.01 월,7430.7,5803.6,5626.4,177.2,1627.1,78.1,3.1,75.7
2018.02 월,7420.7,5778.2,5596.1,182.1,1642.5,77.9,3.2,75.4
2018.03 월,7410,5811.5,5597.2,214.3,1598.5,78.4,3.7,75.5
2018.04 월,7400.1,5842.2,5623.8,218.4,1557.9,78.9,3.7,76
2018.05 월,7390,5830.9,5615.8,215.1,1559.1,78.9,3.7,76
2018.06 월,7379.9,5808.6,5607.4,201.2,1571.3,78.7,3.5,76
2018.07 월,7371.4,5762.3,5563.2,199.1,1609.1,78.2,3.5,75.5
2018.08 월,7362.8,5741.7,5527,214.7,1621,78,3.7,75.1
